,date,social distancing,shelter-in-place
1,3/1/2020,    NA,     NA
2,3/2/2020,    NA,     NA
3,3/3/2020,    NA,     NA
4,3/4/2020,    NA,     NA
5,3/5/2020,    NA,     NA
6,3/6/2020,    NA,     NA
7,3/7/2020,4.21,     NA
8,3/8/2020,-41.14,-28
9,3/9/2020,-10.21,-15
10,3/10/2020,-11.31,-10.66
11,3/11/2020,-6.81,-4.16
12,3/12/2020,-6.98,-3.66
13,3/13/2020,-2.16,0.84
14,3/14/2020,-36.36,-56.14
15,3/15/2020,-63.11,-87.48
16,3/16/2020,-37.2,-62
17,3/17/2020,-46.89,-73.61
18,3/18/2020,-51.41,-78.91
19,3/19/2020,-45.3,-73.71
20,3/20/2020,-42.01,-66.12
21,3/21/2020,-72.62,-95.92
22,3/22/2020,-96.53,-121.89
23,3/23/2020,-69.11,-100.83
24,3/24/2020,-68.69,-97.48
25,3/25/2020,-62.91,-92.65
26,3/26/2020,-61.57,-92.36
27,3/27/2020,-53.61,-85.28
28,3/28/2020,-72.52,-107.31
29,3/29/2020,-86.83,-123.63
30,3/30/2020,-61.49,-98.92
31,3/31/2020,-65.73,-104.18
32,4/1/2020,-56.07,-96.38
33,4/2/2020,-45.08,-88.81
34,4/3/2020,    NA,-94.38
35,4/4/2020,    NA,-125.11
36,4/5/2020,    NA,-133.8
37,4/6/2020,    NA,-104.01
38,4/7/2020,    NA,-105.55
39,4/8/2020,    NA,-105.27
40,4/9/2020,    NA,-99.32
41,4/10/2020,    NA,-89.34
42,4/11/2020,    NA,-108.12
43,4/12/2020,    NA,-140.21
44,4/13/2020,    NA,     NA
45,4/14/2020,    NA,     NA
46,4/15/2020,    NA,     NA
47,4/16/2020,    NA,     NA
48,4/17/2020,    NA,     NA
49,4/18/2020,    NA,     NA
50,4/20/2020,    NA,     NA
51,4/21/2020,    NA,     NA
52,4/22/2020,    NA,     NA
53,4/23/2020,    NA,     NA
54,4/24/2020,    NA,     NA
55,4/25/2020,    NA,     NA
56,4/26/2020,    NA,     NA
57,4/27/2020,    NA,     NA
58,4/28/2020,    NA,     NA
59,4/29/2020,    NA,     NA
60,4/30/2020,    NA,     NA
